company_id,industry_sector,revenue,cogs,gross_profit,operating_profit,net_profit,ebitda,interest_expense,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,liquid_assets,cash,inventory,accounts_payable,share_price,shares_outstanding,dividends_per_share,annualized_portfolio_return,benchmark_return,risk_free_rate,daily_return_stdev,downside_deviation,market_covariance,market_variance,correlation_to_benchmark,tracking_error,historical_peak_value,historical_trough_value,var_95_amount,total_gross_loan_amount,days_past_due,provision_for_credit_losses,net_profit_margin,roa,roe,cash_ratio,quick_ratio,current_ratio,inventory_turnover,asset_turnover,payable_turnover,debt_to_assets,debt_to_equity,interest_coverage,dscr,eps,pe_ratio,dividend_yield,volatility_annualized,alpha,beta,sharpe_ratio,treynor_ratio,max_drawdown,sortino_ratio,r_squared,npl_status,cost_of_risk,is_default,portfolio_weight
COMP_00622,Materials,26213.88,14546.59,11667.29,4181.52,2692.79,5205.78,1599.42,57293.56,35755.39,21538.17,21079.08,9350.11,14237.29,10521.4,2205.84,2915.64,11.03,60.54,0.0,0.0146,0.0542,0.04,0.003594,0.0611,0.044222,0.045696,0.6808,0.038,25.65,11.84,3.97,15100.46,0,153.76,0.1027,0.047,0.125,1.1253,1.5227,2.2544,6.5946,0.4575,4.9892,0.6241,1.6601,2.6144,1.6742,44.4795,0.25,0.0,0.0571,-0.0396,0.9677,-0.4448,-0.0262,0.5384,-0.4157,0.4635,0,0.0102,0,0.00322159
COMP_00623,Technology,373.53,315.78,57.75,1.88,1.49,40.69,19.0,458.12,248.65,209.47,277.74,114.88,226.18,44.1,71.25,29.27,33.97,12.44,0.0,0.262,0.0769,0.04,0.018895,0.2895,0.051271,0.032162,0.8542,0.0345,62.36,55.57,9.78,143.52,0,4.76,0.004,0.0033,0.0071,0.3839,1.9688,2.4177,4.432,0.8154,10.7885,0.5428,1.187,0.0989,1.22,0.1198,283.56,0.0,0.2999,0.1851,1.5941,0.7402,0.1393,0.1089,0.7668,0.7297,0,0.0332,1,3.062e-05
COMP_00624,Industrials,227.1,133.11,93.99,70.92,54.32,80.16,13.43,311.55,203.52,108.03,130.64,64.65,109.51,47.96,11.95,29.07,143.41,61.34,0.47,0.2021,0.1071,0.04,0.017649,0.2505,0.036496,0.025878,0.5791,0.005,208.42,106.22,13.63,110.09,0,4.2,0.2392,0.1744,0.5028,0.7418,1.6939,2.0207,11.1389,0.7289,4.5789,0.6532,1.8839,5.2807,3.28,0.8856,161.94,0.0033,0.2802,0.095,1.4103,0.5785,0.1149,0.4904,0.6471,0.3354,0,0.0382,0,2.349e-05
COMP_00625,Consumer Staples,2004.72,1256.8,747.92,371.58,295.06,552.59,215.78,5391.27,2763.91,2627.36,1060.09,740.4,975.83,241.11,363.47,221.73,76.4,130.88,0.0,0.1177,0.061,0.04,0.009305,0.1285,0.051423,0.032433,0.6549,0.0544,180.47,98.62,6.95,564.92,0,3.02,0.1472,0.0547,0.1123,0.3256,1.318,1.4318,3.4578,0.3718,5.6682,0.5127,1.052,1.722,2.0296,2.2544,33.89,0.0,0.1477,0.0567,1.5855,0.5261,0.049,0.4535,0.6047,0.4289,0,0.0053,0,0.00012052
COMP_00626,Industrials,722.02,443.96,278.06,221.97,163.58,285.42,49.0,1866.38,646.75,1219.63,1154.56,175.51,914.65,619.13,320.46,54.93,170.23,33.16,0.0,0.1998,0.0428,0.04,0.01794,0.2162,0.027024,0.025757,0.3121,0.0964,303.96,247.09,1.97,351.97,0,14.94,0.2266,0.0876,0.1341,3.5276,5.2114,6.5783,1.3854,0.3869,8.0823,0.3465,0.5303,4.53,3.3899,4.9331,34.51,0.0,0.2848,0.157,1.0492,0.5611,0.1523,0.1871,0.7391,0.0974,0,0.0424,0,7.509e-05
COMP_00627,Real Estate,604.7,308.92,295.78,221.88,139.5,289.15,23.08,1533.65,472.18,1061.47,372.07,187.48,331.49,182.04,62.44,52.92,29.84,43.35,0.61,0.1385,0.0315,0.04,0.024545,0.3139,0.041345,0.031116,0.6064,0.0224,54.18,41.08,12.29,398.11,0,12.88,0.2307,0.091,0.1314,0.971,1.7681,1.9846,4.9475,0.3943,5.8375,0.3079,0.4448,9.6135,4.5976,3.218,9.27,0.0204,0.3896,0.107,1.3287,0.2528,0.0741,0.2418,0.3138,0.3677,0,0.0324,0,8.493e-05
COMP_00628,Consumer Staples,2241.21,868.49,1372.72,1144.18,873.81,1234.4,268.01,5594.11,4105.45,1488.66,3335.87,1779.7,1508.72,1088.95,760.53,529.5,19.85,56.9,0.02,-0.0171,0.074,0.04,0.003,0.0335,0.027112,0.018229,0.4458,0.0311,31.66,10.03,69.4,1237.89,0,6.48,0.3899,0.1562,0.587,0.6119,0.8477,1.8744,1.142,0.4006,1.6402,0.7339,2.7578,4.2692,3.1506,15.3569,1.29,0.001,0.0476,-0.0911,1.4873,-1.1996,-0.0384,0.6832,-1.7045,0.1987,0,0.0052,0,0.0002641
COMP_00629,Industrials,175.43,139.96,35.47,9.31,7.04,19.55,7.74,317.66,128.69,188.97,201.86,72.29,94.74,18.1,10.55,20.97,42.72,58.73,0.48,-0.0603,0.0584,0.04,0.01471,0.2269,0.069575,0.056238,0.5521,0.0771,50.73,18.73,7.45,89.82,0,3.12,0.0401,0.0222,0.0373,0.2504,1.3106,2.7924,13.2664,0.5523,6.6743,0.4051,0.681,1.2028,1.1691,0.1199,356.3,0.0112,0.2335,-0.1187,1.2372,-0.4296,-0.0811,0.6308,-0.442,0.3048,0,0.0347,0,1.916e-05
COMP_00630,Consumer Staples,142.23,106.86,35.37,24.3,15.43,29.73,18.81,341.86,273.78,68.08,201.33,112.78,98.07,72.45,61.08,54.04,17.99,66.98,0.0,0.0898,0.0511,0.04,0.01649,0.2488,0.021529,0.031038,0.8526,0.0693,23.87,13.82,9.94,85.0,0,3.55,0.1085,0.0451,0.2266,0.6424,0.8696,1.7852,1.7495,0.416,1.9774,0.8009,4.0214,1.2919,1.0886,0.2304,78.08,0.0,0.2618,0.0387,0.6936,0.1902,0.0718,0.421,0.2002,0.7269,0,0.0418,0,1.813e-05
COMP_00631,Telecom,535.44,224.76,310.68,279.65,201.67,315.34,43.6,884.47,648.29,236.18,432.12,308.92,207.27,40.14,56.76,179.89,21.95,314.1,0.66,0.1128,0.1147,0.04,0.006367,0.0648,0.026868,0.033303,0.724,0.0439,37.54,23.46,1.41,145.61,0,6.47,0.3766,0.228,0.8539,0.1299,0.671,1.3988,3.9598,0.6054,1.2494,0.733,2.7449,6.414,5.4218,0.6421,34.18,0.0301,0.1011,-0.0019,0.8068,0.7201,0.0902,0.3751,1.1235,0.5242,0,0.0444,0,3.106e-05
COMP_00632,Consumer Staples,3997.73,2951.86,1045.87,189.56,135.75,637.48,33.64,4083.93,1152.26,2931.67,2130.9,313.73,954.93,321.76,152.5,124.27,28.02,34.03,0.3,0.0441,0.0801,0.04,0.007238,0.079,0.074134,0.046286,0.2475,0.0324,57.9,23.61,31.44,1516.43,0,41.53,0.034,0.0332,0.0463,1.0256,3.0438,6.7921,19.3565,0.9789,23.7536,0.2821,0.393,5.635,3.4406,3.9891,7.02,0.0107,0.1149,-0.036,1.6017,0.0357,0.0026,0.5922,0.0519,0.0613,0,0.0274,0,0.00032352
COMP_00633,Consumer Discretionary,564.04,373.92,190.12,75.87,48.16,132.46,12.17,939.37,357.7,581.67,469.62,173.62,219.51,55.21,130.29,76.42,88.41,28.25,0.52,-0.0971,0.082,0.04,0.013006,0.2458,0.026277,0.016207,0.9479,0.0412,115.54,53.42,10.88,317.37,0,6.67,0.0854,0.0513,0.0828,0.318,1.2643,2.7049,2.8699,0.6004,4.893,0.3808,0.615,6.2342,3.0168,1.7048,51.86,0.0059,0.2065,-0.1791,1.6213,-0.6639,-0.0846,0.5376,-0.5578,0.8985,0,0.021,0,6.771e-05
COMP_00634,Financials,7472.52,4144.05,3328.47,1631.54,1186.73,2341.89,135.73,8586.36,3776.24,4810.12,3265.07,1735.1,3094.47,756.6,486.09,914.82,70.3,24.23,0.0,0.1139,0.0527,0.04,0.017143,0.156,0.014642,0.019763,0.4008,0.0467,86.7,70.1,21.11,2618.92,0,53.55,0.1588,0.1382,0.2467,0.4361,1.7835,1.8818,8.5253,0.8703,4.5299,0.4398,0.7851,12.0205,5.8897,48.9777,1.44,0.0,0.2721,0.0612,0.7409,0.2716,0.0997,0.1915,0.4737,0.1606,0,0.0204,0,0.00055873
COMP_00635,Financials,4634.19,2210.56,2423.63,1426.83,969.69,1788.17,338.32,7692.17,4895.4,2796.77,2209.27,1402.4,1214.44,317.68,486.62,547.56,49.99,39.59,0.0,0.1413,0.0665,0.04,0.022845,0.3574,0.02483,0.017514,0.5582,0.041,89.01,49.19,5.11,1427.47,0,11.78,0.2092,0.1261,0.3467,0.2265,0.866,1.5753,4.5427,0.6025,4.0371,0.6364,1.7504,4.2174,3.7171,24.4933,2.04,0.0,0.3627,0.0748,1.4177,0.2793,0.0715,0.4474,0.2834,0.3116,0,0.0083,0,0.00030454
COMP_00636,Consumer Discretionary,1540.0,1200.99,339.01,218.01,180.64,386.66,119.36,2239.68,1738.86,500.82,655.11,813.35,434.29,200.7,198.64,260.93,36.02,18.43,1.02,0.2846,0.0723,0.04,0.018259,0.2497,0.039402,0.033972,0.5662,0.0503,42.96,34.99,9.27,152.5,0,2.52,0.1173,0.0807,0.3607,0.2468,0.534,0.8054,6.0461,0.6876,4.6027,0.7764,3.472,1.8265,2.8724,9.8014,3.67,0.0283,0.2899,0.2123,1.1598,0.8437,0.2109,0.1855,0.9796,0.3206,0,0.0165,0,3.253e-05
COMP_00637,Utilities,1648.58,1154.16,494.42,292.02,235.18,408.16,50.21,3491.95,1009.93,2482.02,1800.39,287.42,1533.73,1012.01,509.11,166.82,136.09,43.73,0.0,0.0518,0.0522,0.04,0.020612,0.1815,0.015265,0.039357,0.7057,0.076,225.22,176.87,4.94,1366.18,0,19.35,0.1427,0.0673,0.0948,3.521,5.3362,6.264,2.267,0.4721,6.9186,0.2892,0.4069,5.816,2.1847,5.378,25.3,0.0,0.3272,-0.0004,0.3879,0.0361,0.0304,0.2147,0.065,0.498,0,0.0142,0,0.00029147
COMP_00638,Healthcare,1538.25,959.67,578.58,451.86,338.4,518.73,55.49,2454.11,1011.7,1442.41,1136.3,442.55,528.46,387.83,171.64,248.92,47.14,122.3,1.63,-0.1068,0.0921,0.04,0.022863,0.1966,0.063651,0.045732,0.8589,0.0733,86.68,47.03,0.8,704.81,152,90.84,0.22,0.1379,0.2346,0.8764,1.1941,2.5676,5.5912,0.6268,3.8553,0.4122,0.7014,8.1431,4.1179,2.767,17.04,0.0346,0.3629,-0.1989,1.3918,-0.4045,-0.1055,0.4574,-0.7467,0.7377,1,0.1289,1,0.00015037
COMP_00639,Utilities,1328.31,869.76,458.55,112.2,81.49,252.18,107.57,3124.58,1545.22,1579.36,1382.45,722.45,794.29,411.82,429.4,208.17,15.91,149.93,0.33,0.0913,0.0508,0.04,0.027603,0.465,0.016625,0.057174,0.4202,0.0658,27.57,23.32,7.42,470.23,0,5.93,0.0613,0.0261,0.0516,0.57,1.0994,1.9136,2.0255,0.4251,4.1781,0.4945,0.9784,1.043,1.6313,0.5435,29.27,0.0207,0.4382,0.0405,0.2908,0.1171,0.1764,0.1542,0.1103,0.1766,0,0.0126,0,0.00010032
COMP_00640,Technology,706.63,279.5,427.13,259.85,158.14,298.83,19.48,1361.48,502.65,858.83,648.48,239.94,316.2,79.85,108.07,115.47,38.09,19.08,0.05,0.0993,0.1011,0.04,0.015796,0.2338,0.004155,0.014306,0.43,0.0627,89.55,62.76,7.38,284.73,0,10.38,0.2238,0.1162,0.1841,0.3328,1.3178,2.7027,2.5863,0.519,2.4205,0.3692,0.5853,13.3393,6.2317,8.2883,4.6,0.0013,0.2508,-0.0018,0.2904,0.2364,0.2042,0.2992,0.2536,0.1849,0,0.0365,0,6.075e-05
COMP_00641,Technology,812.22,476.74,335.48,253.95,154.23,282.24,31.89,2292.8,1385.86,906.94,1232.13,781.22,535.24,107.84,246.43,358.47,15.62,37.66,0.0,-0.0146,0.0898,0.04,0.003,0.0253,0.028138,0.043641,0.3737,0.0849,17.17,5.48,16.88,313.69,0,10.78,0.1899,0.0673,0.1701,0.138,0.6851,1.5772,1.9346,0.3542,1.3299,0.6044,1.5281,7.9633,4.4617,4.0953,3.81,0.0,0.0476,-0.1044,0.6448,-1.1471,-0.0847,0.6808,-2.1581,0.1397,0,0.0344,0,6.692e-05
COMP_00642,Consumer Staples,303.7,135.71,167.99,126.89,80.85,139.45,8.34,303.78,170.33,133.45,159.23,98.64,147.83,69.66,37.22,45.36,21.88,93.39,0.36,-0.0012,0.0846,0.04,0.027163,0.3025,0.034385,0.047747,0.7927,0.0507,51.51,22.02,1.93,94.0,0,2.49,0.2662,0.2661,0.6058,0.7062,1.4987,1.6143,3.6462,0.9997,2.9918,0.5607,1.2764,15.2146,7.8608,0.8657,25.27,0.0165,0.4312,-0.0858,0.7201,-0.0955,-0.0572,0.5725,-0.1362,0.6284,0,0.0265,0,2.005e-05
COMP_00643,Industrials,77.32,35.12,42.2,19.65,15.15,26.21,6.1,178.84,81.5,97.34,36.25,42.71,31.61,20.47,2.58,22.73,100.19,29.91,0.17,0.2138,0.0702,0.04,0.032323,0.3495,0.026744,0.043226,0.6963,0.0433,194.22,84.31,6.0,49.28,0,0.28,0.1959,0.0847,0.1556,0.4793,0.7401,0.8487,13.6124,0.4323,1.5451,0.4557,0.8373,3.2213,2.3767,0.5065,197.81,0.0017,0.5131,0.1436,0.6187,0.3387,0.2809,0.5659,0.4973,0.4848,0,0.0057,0,1.051e-05
COMP_00644,Industrials,4125.26,2807.87,1317.39,498.36,303.5,847.51,371.51,9402.59,5509.7,3892.89,3117.12,3038.6,2754.33,1523.43,714.29,1427.05,42.45,141.09,0.0,0.0372,0.0647,0.04,0.014307,0.2028,0.053789,0.05275,0.3636,0.0102,52.4,16.04,4.22,2180.0,22,47.7,0.0736,0.0323,0.078,0.5014,0.9064,1.0258,3.931,0.4387,1.9676,0.586,1.4153,1.3414,1.4377,2.1511,19.73,0.0,0.2271,-0.0275,1.0197,-0.0123,-0.0027,0.6939,-0.0138,0.1322,0,0.0219,0,0.00046509
COMP_00645,Financials,1324.39,1066.97,257.42,-74.06,-50.19,-3.32,77.4,3829.31,1842.99,1986.32,1079.8,382.85,947.82,501.21,241.04,155.9,36.33,45.83,0.17,0.0565,0.0988,0.04,0.030308,0.3218,-0.005666,0.036011,0.5486,0.0316,42.0,31.66,0.62,694.64,53,7.17,-0.0379,-0.0131,-0.0253,1.3092,2.4757,2.8204,4.4265,0.3459,6.8439,0.4813,0.9278,-0.9568,-0.0226,-1.0951,,0.0047,0.4811,-0.0423,-0.1573,0.0343,-0.1049,0.2462,0.0513,0.301,0,0.0103,1,0.0001482
COMP_00646,Energy,1104.84,609.74,495.1,366.78,275.73,472.23,20.19,1786.98,845.38,941.6,748.96,291.71,363.25,65.86,233.71,157.06,41.05,10.63,0.6,-0.081,0.0568,0.04,0.020348,0.3412,0.020094,0.050905,0.5167,0.005,92.25,70.78,5.41,281.1,0,11.57,0.2496,0.1543,0.2928,0.2258,1.2452,2.5675,2.609,0.6183,3.8822,0.4731,0.8978,18.1664,9.777,25.9389,1.58,0.0146,0.323,-0.1378,0.3947,-0.3746,-0.3066,0.2327,-0.3546,0.267,0,0.0412,0,5.997e-05
COMP_00647,Utilities,1768.95,802.88,966.07,784.73,529.36,960.97,64.04,2603.83,1100.14,1503.69,470.53,237.51,391.36,163.39,73.45,72.66,31.25,79.16,1.13,0.0944,-0.0011,0.04,0.020188,0.2137,0.010353,0.013481,0.6191,0.0301,32.46,26.97,18.99,871.16,0,37.84,0.2993,0.2033,0.352,0.6879,1.6478,1.9811,10.931,0.6794,11.0498,0.4225,0.7316,12.2537,6.3575,6.6872,4.67,0.0362,0.3205,0.0955,0.768,0.1697,0.0708,0.1691,0.2546,0.3833,0,0.0434,0,0.00018586
COMP_00648,Telecom,405.83,273.68,132.15,32.32,27.34,78.12,20.16,478.58,287.76,190.82,254.24,83.43,203.48,103.32,31.18,39.35,6.13,119.58,0.0,-0.0299,0.0596,0.04,0.016289,0.2109,0.036971,0.041836,0.8405,0.0377,11.46,7.05,3.64,89.67,76,0.62,0.0674,0.0571,0.1433,1.2384,2.4389,3.0473,8.7774,0.848,6.955,0.6013,1.508,1.6032,2.682,0.2286,26.82,0.0,0.2586,-0.0895,0.8837,-0.2703,-0.0791,0.3848,-0.3314,0.7064,0,0.0069,0,1.913e-05
COMP_00649,Real Estate,329.88,259.15,70.73,-2.33,-1.9,24.93,14.73,456.43,245.87,210.56,92.78,86.72,84.34,45.45,17.9,41.68,60.01,22.87,0.02,-0.038,0.0563,0.04,0.003151,0.0398,0.087925,0.057043,0.8962,0.0693,139.02,71.77,8.84,98.97,0,2.62,-0.0058,-0.0042,-0.009,0.5241,0.9726,1.0699,14.4777,0.7227,6.2176,0.5387,1.1677,-0.1582,1.0123,-0.0831,,0.0003,0.05,-0.0943,1.5414,-1.56,-0.0506,0.4837,-1.9598,0.8032,0,0.0265,0,2.111e-05
COMP_00650,Materials,780.22,565.0,215.22,43.38,27.88,121.52,25.53,1485.66,561.0,924.66,424.45,306.88,220.98,33.84,108.74,168.21,56.79,32.63,0.18,-0.1333,0.0478,0.04,0.016118,0.1407,0.05994,0.032748,0.3696,0.0085,136.11,99.95,10.22,164.58,0,6.34,0.0357,0.0188,0.0302,0.1103,0.7201,1.3831,5.1959,0.5252,3.3589,0.3776,0.6067,1.6992,2.8942,0.8544,66.47,0.0032,0.2559,-0.1811,1.8303,-0.6772,-0.0947,0.2657,-1.2317,0.1366,0,0.0385,1,3.511e-05
COMP_00651,Industrials,5663.05,4441.98,1221.07,155.52,107.09,709.25,105.99,14967.26,3867.96,11099.3,8102.84,1565.37,5086.35,1422.71,1771.02,938.16,38.36,29.46,1.75,0.1515,0.0978,0.04,0.028272,0.3468,0.017875,0.016085,0.6704,0.0639,73.94,58.36,8.64,5280.73,0,99.99,0.0189,0.0072,0.0096,0.9089,3.2493,5.1763,2.5081,0.3784,4.7348,0.2584,0.3485,1.4673,1.1186,3.6351,10.55,0.0456,0.4488,0.0537,1.1113,0.2484,0.1003,0.2107,0.3215,0.4494,0,0.0189,1,0.00112661
COMP_00652,Materials,269.75,166.78,102.97,51.48,39.07,65.83,9.99,384.51,133.85,250.66,67.59,61.51,38.0,29.16,6.18,26.02,19.1,74.36,0.0,-0.02,0.0244,0.04,0.020774,0.2591,0.051828,0.028184,0.8259,0.0373,46.74,37.63,4.35,52.35,43,1.53,0.1448,0.1016,0.1559,0.4741,0.6178,1.0988,26.9871,0.7015,6.4097,0.3481,0.534,5.1532,4.3238,0.5254,36.35,0.0,0.3298,-0.0444,1.8389,-0.1819,-0.0326,0.1949,-0.2316,0.6821,0,0.0292,0,1.117e-05
COMP_00653,Consumer Staples,46.88,34.03,12.85,1.88,1.36,4.6,0.55,53.77,14.94,38.83,25.82,5.16,13.99,6.72,3.99,2.03,137.86,24.23,0.93,-0.0533,0.0608,0.04,0.014533,0.1389,0.009618,0.052518,0.307,0.0103,274.28,174.95,10.76,5.89,0,0.25,0.029,0.0253,0.035,1.3023,2.7112,5.0039,8.5288,0.8719,16.7635,0.2779,0.3848,3.4182,4.0386,0.0561,2457.4,0.0067,0.2307,-0.1141,0.1831,-0.4044,-0.5096,0.3621,-0.6717,0.0942,0,0.0424,0,1.26e-06
COMP_00654,Materials,586.59,246.39,340.2,271.28,169.2,314.14,14.56,820.45,435.28,385.17,502.31,192.03,381.16,231.5,34.73,84.55,22.64,45.8,0.41,0.0389,0.0668,0.04,0.003,0.0533,0.016928,0.016359,0.4663,0.0292,54.45,25.58,7.31,220.38,0,5.22,0.2884,0.2062,0.4393,1.2055,1.9849,2.6158,7.0944,0.715,2.9141,0.5305,1.1301,18.6319,8.5835,3.6943,6.13,0.0181,0.0476,-0.0279,1.0348,-0.0231,-0.0011,0.5302,-0.0206,0.2174,0,0.0237,0,4.702e-05
COMP_00655,Real Estate,4320.99,2264.79,2056.2,1459.07,1009.83,1596.1,120.69,4416.22,1750.21,2666.01,2026.25,920.99,993.2,347.94,550.73,426.85,17.57,18.87,1.09,0.1833,0.0507,0.04,0.022634,0.2736,0.051337,0.036364,0.3258,0.0369,40.12,14.43,2.63,428.23,0,4.88,0.2337,0.2287,0.3788,0.3778,1.0784,2.2001,4.1123,0.9784,5.3058,0.3963,0.6565,12.0894,9.7613,53.5151,0.33,0.062,0.3593,0.1326,1.4118,0.3988,0.1015,0.6403,0.5238,0.1061,0,0.0114,0,9.136e-05
COMP_00656,Consumer Discretionary,137.13,74.7,62.43,25.69,19.28,33.47,16.07,389.28,203.71,185.57,197.1,65.29,129.23,68.56,62.06,31.68,35.98,44.09,0.27,0.1398,0.097,0.04,0.015551,0.27,-0.008773,0.052861,0.494,0.0421,38.11,23.79,10.87,152.71,0,7.1,0.1406,0.0495,0.1039,1.0501,1.9793,3.0188,1.2037,0.3523,2.358,0.5233,1.0978,1.5986,1.0679,0.4373,82.28,0.0075,0.2469,0.0428,-0.166,0.4042,-0.6012,0.3758,0.3696,0.244,0,0.0465,0,3.258e-05
COMP_00657,Real Estate,266.04,161.13,104.91,71.07,58.27,90.4,20.02,723.57,335.84,387.73,395.17,192.4,298.61,113.98,25.17,60.12,58.44,51.8,0.21,0.098,0.1179,0.04,0.017109,0.2465,0.054339,0.049313,0.2326,0.0397,93.97,48.18,18.76,177.93,0,4.04,0.219,0.0805,0.1503,0.5924,1.552,2.0539,6.4017,0.3677,2.6801,0.4641,0.8662,3.55,2.3907,1.1249,51.95,0.0036,0.2716,-0.0199,1.1019,0.2135,0.0526,0.4873,0.2353,0.0541,0,0.0227,0,3.796e-05
COMP_00658,Materials,1504.56,1225.52,279.04,-1.68,-1.3,58.09,76.7,2224.77,1334.22,890.55,580.94,380.69,274.01,93.99,120.62,150.3,49.38,33.44,4.68,0.2245,0.0729,0.04,0.01235,0.0994,0.028019,0.035618,0.5853,0.0643,79.21,71.63,3.6,146.92,0,3.07,-0.0009,-0.0006,-0.0015,0.2469,0.7198,1.526,10.1602,0.6763,8.1538,0.5997,1.4982,-0.0219,0.6356,-0.0389,,0.0948,0.1961,0.1516,0.7867,0.9408,0.2345,0.0957,1.8561,0.3426,0,0.0209,0,3.134e-05
COMP_00659,Real Estate,23953.95,18855.31,5098.64,-306.81,-185.75,684.04,908.08,32179.09,23185.47,8993.62,14174.31,13162.87,7673.11,3202.82,3115.43,4585.53,52.44,9.56,0.14,0.2119,0.0796,0.04,0.02081,0.323,0.05165,0.041216,0.9773,0.0667,78.04,73.22,13.43,3181.72,0,103.36,-0.0078,-0.0058,-0.0207,0.2433,0.5829,1.0768,6.0522,0.7444,4.1119,0.7205,2.578,-0.3379,0.5578,-19.4299,,0.0027,0.3303,0.1323,1.2532,0.5204,0.1372,0.0618,0.5322,0.9551,0,0.0325,1,0.0006788
COMP_00660,Healthcare,214.89,89.67,125.22,60.76,45.0,76.17,7.15,599.95,336.9,263.05,182.7,71.19,170.29,76.44,33.19,15.34,85.82,381.78,3.19,0.0984,0.0903,0.04,0.023698,0.2945,0.030114,0.023987,0.8825,0.0707,214.4,67.05,58.56,225.92,0,9.55,0.2094,0.075,0.1711,1.0737,2.392,2.5664,2.7017,0.3582,5.8455,0.5615,1.2807,8.4979,2.561,0.1179,727.91,0.0372,0.3762,0.0081,1.2554,0.1552,0.0465,0.6873,0.1983,0.7788,0,0.0423,0,4.82e-05
COMP_00661,Consumer Staples,205.14,89.52,115.62,83.04,60.79,102.69,1.51,164.91,47.87,117.04,45.31,19.97,37.95,13.86,9.1,8.86,41.95,79.87,0.0,0.1378,0.0763,0.04,0.017459,0.2806,0.042838,0.056654,0.5969,0.0313,51.26,46.09,22.69,39.88,0,1.94,0.2963,0.3686,0.5194,0.694,1.9004,2.2689,9.8374,1.244,10.1038,0.2903,0.409,54.9934,18.6777,0.7611,55.12,0.0,0.2772,0.0615,0.7561,0.3528,0.1293,0.1009,0.3485,0.3563,0,0.0486,0,8.51e-06
COMP_00662,Utilities,1646.55,870.73,775.82,517.27,375.2,690.22,50.27,3492.78,912.95,2579.83,860.02,542.36,664.22,211.02,226.28,298.26,97.31,29.2,1.0,0.1797,0.1244,0.04,0.026589,0.4147,0.006082,0.011552,0.6579,0.0215,132.43,82.65,13.31,608.59,0,20.47,0.2279,0.1074,0.1454,0.3891,1.2247,1.5857,3.848,0.4714,2.9194,0.2614,0.3539,10.2898,6.211,12.8493,7.57,0.0103,0.4221,0.0553,0.5265,0.331,0.2653,0.3759,0.3369,0.4328,0,0.0336,0,0.00012984
COMP_00663,Consumer Discretionary,4654.59,2305.75,2348.84,1135.63,714.28,1504.13,148.07,13103.64,5092.08,8011.56,5801.18,2260.43,5051.57,2806.06,1131.91,1285.26,49.55,77.57,0.7,0.1639,0.0578,0.04,0.023076,0.3726,0.031465,0.028276,0.7991,0.0356,56.64,43.08,11.17,3843.79,46,78.83,0.1535,0.0545,0.0892,1.2414,2.2348,2.5664,2.037,0.3552,1.794,0.3886,0.6356,7.6695,2.8249,9.2082,5.38,0.0141,0.3663,0.1061,1.1128,0.3382,0.1113,0.2394,0.3325,0.6386,0,0.0205,0,0.00082005
COMP_00664,Telecom,518.57,340.9,177.67,47.31,33.07,85.02,38.24,995.05,523.62,471.43,544.56,220.94,222.01,88.24,177.47,89.92,31.12,120.78,0.0,0.1918,0.0826,0.04,0.017931,0.2802,0.019668,0.029773,0.381,0.0462,57.82,24.14,3.88,179.43,0,4.44,0.0638,0.0332,0.0701,0.3994,1.0048,2.4647,1.9209,0.5211,3.7911,0.5262,1.1107,1.2372,1.5133,0.2738,113.66,0.0,0.2846,0.1092,0.6606,0.5334,0.2298,0.5825,0.5418,0.1452,0,0.0247,0,3.828e-05
COMP_00665,Industrials,156.7,125.58,31.12,-5.35,-3.62,4.77,1.1,126.38,35.28,91.1,74.3,16.69,29.97,8.43,15.77,8.45,23.32,87.47,0.81,-0.0278,0.0591,0.04,0.012551,0.1025,0.093392,0.048779,0.6287,0.0438,52.52,45.53,4.09,12.64,0,0.45,-0.0231,-0.0286,-0.0397,0.5051,1.7957,4.4518,7.9632,1.2399,14.8615,0.2792,0.3873,-4.8636,2.0178,-0.0414,,0.0347,0.1992,-0.0869,1.9146,-0.3404,-0.0354,0.1331,-0.6615,0.3953,0,0.0356,0,2.7e-06
COMP_00666,Technology,1845.49,1533.87,311.62,5.62,4.23,93.03,56.21,2365.03,1095.07,1269.96,861.56,345.74,417.58,268.48,61.64,167.67,100.89,111.16,1.18,0.0254,0.1085,0.04,0.011932,0.2227,0.022602,0.033646,0.5769,0.0326,134.74,53.47,11.42,734.79,0,35.67,0.0023,0.0018,0.0033,0.7765,1.2078,2.4919,24.8843,0.7803,9.1481,0.463,0.8623,0.1,0.7173,0.0381,2648.03,0.0117,0.1894,-0.0831,0.6718,-0.0771,-0.0217,0.6032,-0.0656,0.3328,0,0.0485,1,0.00015676
COMP_00667,Utilities,2293.44,1552.2,741.24,440.83,371.5,539.89,272.05,6488.99,5363.58,1125.41,2183.22,1188.39,1467.98,910.78,733.56,346.49,56.17,153.95,0.0,0.1563,0.0439,0.04,0.003,0.0393,0.044761,0.05289,0.4999,0.0176,103.68,81.04,7.72,1152.34,0,56.78,0.162,0.0573,0.3301,0.7664,1.2353,1.8371,2.116,0.3534,4.4798,0.8266,4.7659,1.6204,1.394,2.4131,23.28,0.0,0.0476,0.1124,0.8463,2.4433,0.1374,0.2184,2.9593,0.2499,0,0.0493,0,0.00024584
